task_id,pless_a2_t1.0_num_correct,num_non_pless_solvers,non_pless_solvers,pless_norm@t1.0_solved,pless_norm@t1.0_nc,pless_norm@t0.6_solved,pless_norm@t0.6_nc,pless@t0.6_solved,pless@t0.6_nc,pless@t2.0_solved,pless@t2.0_nc,tau_alpha_a3_solved,tau_alpha_a3_nc,tau_alpha_a4_solved,tau_alpha_a4_nc,tau_alpha_a5_solved,tau_alpha_a5_nc,G_k_0.05_solved,G_k_0.05_nc,G_k_0.1_solved,G_k_0.1_nc,G_k_0.2_solved,G_k_0.2_nc,G_k_0.25_solved,G_k_0.25_nc,G_k_0.3_solved,G_k_0.3_nc,G_k_0.35_solved,G_k_0.35_nc,G_k_0.4_solved,G_k_0.4_nc,G_k_0.8_solved,G_k_0.8_nc,G_k_1.6_solved,G_k_1.6_nc,any_pless_variant_solved
270,0,6,temp@t1.0;temp@t0.6;temp_p0.95@t0.6;top_p0.7@t1.0;top_p0.8@t1.0;top_p0.85@t1.0,1,3,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,2,0,0,0,0,1,3,0,0,1,1,0,0,1
280,0,1,temp@t1.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
369,0,4,temp@t1.0;temp@t0.6;temp_k20@t1.0;temp_p0.95@t0.6,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1
559,0,11,temp@t1.0;temp@t0.6;temp_k20@t1.0;temp_k20@t0.6;temp_p0.95@t0.6;temp_p0.95_k20@t0.6;top_p0.7@t1.0;top_p0.75@t1.0;top_p0.8@t1.0;top_p0.85@t1.0;top_p0.9@t1.0,1,2,1,4,1,4,1,3,1,4,1,4,1,4,1,9,1,10,1,2,1,1,1,3,1,3,1,5,1,5,0,0,1
579,0,2,temp@t1.0;top_p0.8@t1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
615,0,2,top_p0.7@t1.0;top_p0.9@t1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1583,0,2,temp_p0.95@t1.0;top_p0.85@t1.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,1
1718,0,3,top_p0.7@t1.0;top_p0.8@t1.0;top_p0.9@t1.0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,2,1,2,0,0,1
2306,0,1,top_p0.7@t1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
2476,0,11,temp@t1.0;temp@t0.6;temp_k20@t0.6;temp_p0.95@t1.0;temp_p0.95@t0.6;temp_p0.95_k20@t0.6;top_p0.7@t1.0;top_p0.75@t1.0;top_p0.8@t1.0;top_p0.85@t1.0;top_p0.9@t1.0,1,2,1,3,1,2,1,4,1,3,1,3,1,1,1,5,1,2,1,3,1,4,1,4,1,1,1,2,1,2,1,2,1
2478,0,8,temp@t1.0;temp@t0.6;temp_k20@t1.0;temp_p0.95@t1.0;temp_p0.95@t0.6;top_p0.7@t1.0;top_p0.85@t1.0;top_p0.9@t1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,2,1,1,1,3,1,4,1,1,1,1,1,1,0,0,1
2479,0,1,temp_p0.95@t1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2502,0,3,temp@t1.0;temp_k20@t1.0;top_p0.8@t1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1
2522,0,5,temp@t1.0;temp@t0.6;top_p0.75@t1.0;top_p0.8@t1.0;top_p0.85@t1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1
2523,0,9,temp@t0.6;temp_k20@t0.6;temp_p0.95@t1.0;temp_p0.95@t0.6;temp_p0.95_k20@t0.6;top_p0.75@t1.0;top_p0.8@t1.0;top_p0.85@t1.0;top_p0.9@t1.0,1,2,0,0,0,0,1,2,1,3,1,2,1,3,1,1,1,1,0,0,1,1,0,0,1,1,1,2,1,1,0,0,1
2643,0,3,temp@t1.0;temp_k20@t1.0;temp_p0.95@t0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
