token,phase,entropy,task_id,sample_idx
from,body,0.6448816061019897,HumanEval/0,0
 typing,body,0.01030336506664753,HumanEval/0,0
 import,body,1.6548940038774163e-05,HumanEval/0,0
 List,body,0.09321277588605881,HumanEval/0,0
"


",operator,0.09465469419956207,HumanEval/0,0
def,signature,0.0021588769741356373,HumanEval/0,0
 has,signature,0.0001773317635525018,HumanEval/0,0
_close,signature,4.2727777326945215e-05,HumanEval/0,0
_elements,signature,0.00010855426808120683,HumanEval/0,0
(numbers,signature,4.908483970211819e-05,HumanEval/0,0
:,signature,2.0909028535243124e-05,HumanEval/0,0
 List,signature,8.206046186387539e-05,HumanEval/0,0
[float,signature,3.116275911452249e-05,HumanEval/0,0
"],",signature,0.00017549570475239307,HumanEval/0,0
 threshold,signature,0.00031819005380384624,HumanEval/0,0
:,signature,1.64873490575701e-05,HumanEval/0,0
 float,signature,7.747451309114695e-05,HumanEval/0,0
),signature,3.437323903199285e-05,HumanEval/0,0
 ->,signature,9.372024578624405e-06,HumanEval/0,0
 bool,signature,8.24807066237554e-05,HumanEval/0,0
":
",signature,0.0007055795285850763,HumanEval/0,0
   ,signature,0.0032969224266707897,HumanEval/0,0
 for,signature,1.25677490234375,HumanEval/0,0
 i,body,0.0007306256447918713,HumanEval/0,0
 in,body,0.019410640001296997,HumanEval/0,0
 range,body,1.9652532500913367e-05,HumanEval/0,0
(len,body,0.0017458696383982897,HumanEval/0,0
(numbers,body,1.238321783603169e-05,HumanEval/0,0
")):
",body,0.002878426108509302,HumanEval/0,0
       ,body,3.8787766243331134e-05,HumanEval/0,0
 for,body,0.00014426562120206654,HumanEval/0,0
 j,body,2.8182746973470785e-05,HumanEval/0,0
 in,body,1.4499462849926203e-05,HumanEval/0,0
 range,body,2.6295092538930476e-05,HumanEval/0,0
(i,body,0.0007491229916922748,HumanEval/0,0
 +,body,0.08194053173065186,HumanEval/0,0
 ,body,7.714728781138547e-06,HumanEval/0,0
1,body,2.207560100941919e-06,HumanEval/0,0
",",body,4.054797682329081e-05,HumanEval/0,0
 len,body,2.781086186587345e-05,HumanEval/0,0
(numbers,body,4.869922122452408e-06,HumanEval/0,0
")):
",body,7.817496953066438e-05,HumanEval/0,0
           ,body,4.496336623560637e-05,HumanEval/0,0
 if,body,0.00012858654372394085,HumanEval/0,0
 abs,body,0.0010889191180467606,HumanEval/0,0
(numbers,body,7.73906649556011e-05,HumanEval/0,0
[i,body,0.003473180579021573,HumanEval/0,0
],body,2.966567080875393e-05,HumanEval/0,0
 -,body,4.641688974516001e-06,HumanEval/0,0
 numbers,body,1.7570991985849105e-05,HumanEval/0,0
[j,body,3.616758840507828e-05,HumanEval/0,0
]),body,1.2793259884347208e-05,HumanEval/0,0
 <,body,0.0009236871846951544,HumanEval/0,0
 threshold,body,3.1607080018147826e-05,HumanEval/0,0
":
",body,7.732452650088817e-05,HumanEval/0,0
               ,body,4.246116441208869e-05,HumanEval/0,0
 return,body,1.4455291420745198e-05,HumanEval/0,0
 True,body,6.34149182587862e-05,HumanEval/0,0
"
",operator,0.0003287888830527663,HumanEval/0,0
   ,operator,2.0262627003830858e-05,HumanEval/0,0
 return,operator,9.164865332422778e-06,HumanEval/0,0
 False,body,0.0003227140987291932,HumanEval/0,0
"
",operator,0.16286635398864746,HumanEval/0,0
from,body,0.6448816061019897,HumanEval/0,1
 typing,body,0.01030336506664753,HumanEval/0,1
 import,body,1.6548940038774163e-05,HumanEval/0,1
 List,body,0.09321277588605881,HumanEval/0,1
"


",operator,0.09465469419956207,HumanEval/0,1
def,signature,0.0021588769741356373,HumanEval/0,1
 has,signature,0.0001773317635525018,HumanEval/0,1
_close,signature,4.2727777326945215e-05,HumanEval/0,1
_elements,signature,0.00010855426808120683,HumanEval/0,1
(numbers,signature,4.908483970211819e-05,HumanEval/0,1
:,signature,2.0909028535243124e-05,HumanEval/0,1
 List,signature,8.206046186387539e-05,HumanEval/0,1
[float,signature,3.116275911452249e-05,HumanEval/0,1
"],",signature,0.00017549570475239307,HumanEval/0,1
 threshold,signature,0.00031819005380384624,HumanEval/0,1
:,signature,1.64873490575701e-05,HumanEval/0,1
 float,signature,7.747451309114695e-05,HumanEval/0,1
),signature,3.437323903199285e-05,HumanEval/0,1
 ->,signature,9.372024578624405e-06,HumanEval/0,1
 bool,signature,8.24807066237554e-05,HumanEval/0,1
":
",signature,0.0007055795285850763,HumanEval/0,1
   ,signature,0.0032969224266707897,HumanEval/0,1
 sorted,signature,1.25677490234375,HumanEval/0,1
_numbers,body,0.12172725796699524,HumanEval/0,1
 =,body,2.1441795979626477e-05,HumanEval/0,1
 sorted,body,0.0011259445454925299,HumanEval/0,1
(numbers,body,2.877804399759043e-05,HumanEval/0,1
")
",body,0.006211469881236553,HumanEval/0,1
   ,operator,0.009170038625597954,HumanEval/0,1
 for,operator,0.03790481016039848,HumanEval/0,1
 i,body,0.000470308936201036,HumanEval/0,1
 in,body,0.00028308213222771883,HumanEval/0,1
 range,body,2.8370644940878265e-05,HumanEval/0,1
(len,body,0.02837156131863594,HumanEval/0,1
(sorted,body,0.0004950628499500453,HumanEval/0,1
_numbers,body,2.170453080907464e-05,HumanEval/0,1
),body,0.00059315754333511,HumanEval/0,1
 -,body,2.6969012196786935e-06,HumanEval/0,1
 ,body,1.4439137885347009e-05,HumanEval/0,1
1,body,7.950186045491137e-06,HumanEval/0,1
"):
",body,0.00021442619618028402,HumanEval/0,1
       ,body,3.552862835931592e-05,HumanEval/0,1
 if,body,0.00014952413039281964,HumanEval/0,1
 abs,body,0.45458826422691345,HumanEval/0,1
(sorted,body,0.0001023055738187395,HumanEval/0,1
_numbers,body,5.652384970744606e-06,HumanEval/0,1
[i,body,4.7678106056991965e-05,HumanEval/0,1
],body,0.000919623242225498,HumanEval/0,1
 -,body,5.651237188430969e-06,HumanEval/0,1
 sorted,body,9.516811405774206e-05,HumanEval/0,1
_numbers,body,4.367879228084348e-05,HumanEval/0,1
[i,body,6.899404979776591e-05,HumanEval/0,1
 +,body,0.054784562438726425,HumanEval/0,1
 ,body,9.368381142849103e-06,HumanEval/0,1
1,body,6.194278512339224e-07,HumanEval/0,1
]),body,2.1255806132103316e-05,HumanEval/0,1
 <,body,0.003408984048292041,HumanEval/0,1
 threshold,body,2.9619923225254752e-05,HumanEval/0,1
":
",body,4.8986250476446e-05,HumanEval/0,1
           ,body,1.947562486748211e-05,HumanEval/0,1
 return,body,1.4855036170047242e-05,HumanEval/0,1
 True,body,6.972411210881546e-05,HumanEval/0,1
"
",operator,0.00016389210941269994,HumanEval/0,1
   ,operator,2.1314866899047047e-05,HumanEval/0,1
 return,operator,1.3512904843082651e-05,HumanEval/0,1
 False,body,0.0003203118103556335,HumanEval/0,1
"
",operator,0.2496224045753479,HumanEval/0,1
from,body,0.6448816061019897,HumanEval/0,2
 typing,body,0.01030336506664753,HumanEval/0,2
 import,body,1.6548940038774163e-05,HumanEval/0,2
 List,body,0.09321277588605881,HumanEval/0,2
"


",operator,0.09465469419956207,HumanEval/0,2
def,signature,0.0021588769741356373,HumanEval/0,2
 has,signature,0.0001773317635525018,HumanEval/0,2
_close,signature,4.2727777326945215e-05,HumanEval/0,2
_elements,signature,0.00010855426808120683,HumanEval/0,2
(numbers,signature,4.908483970211819e-05,HumanEval/0,2
:,signature,2.0909028535243124e-05,HumanEval/0,2
 List,signature,8.206046186387539e-05,HumanEval/0,2
[float,signature,3.116275911452249e-05,HumanEval/0,2
"],",signature,0.00017549570475239307,HumanEval/0,2
 threshold,signature,0.00031819005380384624,HumanEval/0,2
:,signature,1.64873490575701e-05,HumanEval/0,2
 float,signature,7.747451309114695e-05,HumanEval/0,2
),signature,3.437323903199285e-05,HumanEval/0,2
 ->,signature,9.372024578624405e-06,HumanEval/0,2
 bool,signature,8.24807066237554e-05,HumanEval/0,2
":
",signature,0.0007055795285850763,HumanEval/0,2
   ,signature,0.0032969224266707897,HumanEval/0,2
 for,signature,1.25677490234375,HumanEval/0,2
 i,body,0.0007306256447918713,HumanEval/0,2
 in,body,0.019410640001296997,HumanEval/0,2
 range,body,1.9652532500913367e-05,HumanEval/0,2
(len,body,0.0017458696383982897,HumanEval/0,2
(numbers,body,1.238321783603169e-05,HumanEval/0,2
")):
",body,0.002878426108509302,HumanEval/0,2
       ,body,3.8787766243331134e-05,HumanEval/0,2
 for,body,0.00014426562120206654,HumanEval/0,2
 j,body,2.8182746973470785e-05,HumanEval/0,2
 in,body,1.4499462849926203e-05,HumanEval/0,2
 range,body,2.6295092538930476e-05,HumanEval/0,2
(i,body,0.0007491229916922748,HumanEval/0,2
 +,body,0.08194053173065186,HumanEval/0,2
 ,body,7.714728781138547e-06,HumanEval/0,2
1,body,2.207560100941919e-06,HumanEval/0,2
",",body,4.054797682329081e-05,HumanEval/0,2
 len,body,2.781086186587345e-05,HumanEval/0,2
(numbers,body,4.869922122452408e-06,HumanEval/0,2
")):
",body,7.817496953066438e-05,HumanEval/0,2
           ,body,4.496336623560637e-05,HumanEval/0,2
 if,body,0.00012858654372394085,HumanEval/0,2
 abs,body,0.0010889191180467606,HumanEval/0,2
(numbers,body,7.73906649556011e-05,HumanEval/0,2
[i,body,0.003473180579021573,HumanEval/0,2
],body,2.966567080875393e-05,HumanEval/0,2
 -,body,4.641688974516001e-06,HumanEval/0,2
 numbers,body,1.7570991985849105e-05,HumanEval/0,2
[j,body,3.616758840507828e-05,HumanEval/0,2
]),body,1.2793259884347208e-05,HumanEval/0,2
 <,body,0.0009236871846951544,HumanEval/0,2
 threshold,body,3.1607080018147826e-05,HumanEval/0,2
":
",body,7.732452650088817e-05,HumanEval/0,2
               ,body,4.246116441208869e-05,HumanEval/0,2
 return,body,1.4455291420745198e-05,HumanEval/0,2
 True,body,6.34149182587862e-05,HumanEval/0,2
"
",operator,0.0003287888830527663,HumanEval/0,2
   ,operator,2.0262627003830858e-05,HumanEval/0,2
 return,operator,9.164865332422778e-06,HumanEval/0,2
 False,body,0.0003227140987291932,HumanEval/0,2
"
",operator,0.16286635398864746,HumanEval/0,2
from,body,0.6448816061019897,HumanEval/0,3
 typing,body,0.01030336506664753,HumanEval/0,3
 import,body,1.6548940038774163e-05,HumanEval/0,3
 List,body,0.09321277588605881,HumanEval/0,3
"


",operator,0.09465469419956207,HumanEval/0,3
def,signature,0.0021588769741356373,HumanEval/0,3
