token,phase,entropy,task_id,sample_idx
def,signature,0.6915372014045715,HumanEval/2,0
trunc,signature,0.032134704291820526,HumanEval/2,0
ate,signature,0.009826233610510826,HumanEval/2,0
_,signature,0.01785235106945038,HumanEval/2,0
number,signature,0.009975546970963478,HumanEval/2,0
(,signature,0.06808014959096909,HumanEval/2,0
number,signature,0.05325029417872429,HumanEval/2,0
:,signature,0.36841970682144165,HumanEval/2,0
float,signature,0.08081785589456558,HumanEval/2,0
),signature,0.11336401104927063,HumanEval/2,0
->,signature,0.04069545865058899,HumanEval/2,0
float,signature,0.015856068581342697,HumanEval/2,0
:,signature,0.04009176045656204,HumanEval/2,0
"
",signature,0.7592493295669556,HumanEval/2,0
,signature,0.6068123579025269,HumanEval/2,0
return,signature,1.7121384143829346,HumanEval/2,0
number,body,0.813428521156311,HumanEval/2,0
-,body,0.7395114302635193,HumanEval/2,0
int,body,0.11093559861183167,HumanEval/2,0
(,body,0.011847302317619324,HumanEval/2,0
number,body,0.0042881593108177185,HumanEval/2,0
),body,0.0023699887096881866,HumanEval/2,0
def,signature,0.6915372014045715,HumanEval/2,1
trunc,signature,0.032134704291820526,HumanEval/2,1
ate,signature,0.009826233610510826,HumanEval/2,1
_,signature,0.01785235106945038,HumanEval/2,1
number,signature,0.009975546970963478,HumanEval/2,1
(,signature,0.06808014959096909,HumanEval/2,1
number,signature,0.05325029417872429,HumanEval/2,1
:,signature,0.36841970682144165,HumanEval/2,1
float,signature,0.08081785589456558,HumanEval/2,1
),signature,0.11336401104927063,HumanEval/2,1
->,signature,0.04069545865058899,HumanEval/2,1
float,signature,0.015856068581342697,HumanEval/2,1
:,signature,0.04009176045656204,HumanEval/2,1
"
",signature,0.7592493295669556,HumanEval/2,1
    ,signature,0.6068123579025269,HumanEval/2,1
return,signature,1.5950217247009277,HumanEval/2,1
abs,body,0.8889511823654175,HumanEval/2,1
(,body,0.020964592695236206,HumanEval/2,1
number,body,0.03709441423416138,HumanEval/2,1
),body,0.31850937008857727,HumanEval/2,1
%,body,0.726956844329834,HumanEval/2,1
,body,0.013417242094874382,HumanEval/2,1
1,body,0.004748343490064144,HumanEval/2,1
 ,operator,0.6915372014045715,HumanEval/2,2
"
",operator,8.289852121379226e-05,HumanEval/2,2
def,signature,0.009642748162150383,HumanEval/2,2
trunc,signature,0.0022792716044932604,HumanEval/2,2
ate,signature,0.0018583976197987795,HumanEval/2,2
_,signature,0.0038237860426306725,HumanEval/2,2
number,signature,0.0033113586250692606,HumanEval/2,2
(,signature,0.006571265868842602,HumanEval/2,2
number,signature,0.011342836543917656,HumanEval/2,2
:,signature,0.26190614700317383,HumanEval/2,2
float,signature,0.04599544405937195,HumanEval/2,2
),signature,0.04188880696892738,HumanEval/2,2
